Country,Region,Code,BoysH1900,BoysH1980,GirlsH1900,GirlsH1980,Happiness,LifeExpectancy,Footprint,GDPperCapita,Population2010,Population2020,Density,LandArea,FertRate,MedianAge,UrbanPop,WorldShare,BeerServ,SpiritServ,WineServ,TotalVacc,PeopleVacc,PeopleFullyVac,PeopleVacc_per100
Congo,Africa,COG,162.253194,170.0809996,152.9400126,158.6362519,3.6,54,0.5,1262,3.61,5.489191,16,341500,4.5,19,70,0.07,1.461538462,0.019230769,0.173076923,833210,695760,11.65,10.96
Cook Islands,Oceania,COK,169.6277537,175.3779922,156.8017766,164.2007381,NA,NA,NA,NA,NA,0.017561,73,240,NA,NA,75,0,0,4.884615385,1.423076923,40854,15112,88.73,86.47
Costa Rica,Americas,CRI,158.4988793,169.1119311,143.7379871,156.0002742,8.5,78.5,2.3,10180,4.33,5.084636,100,51060,1.8,33,80,0.07,2.865384615,1.673076923,0.211538462,12778229,4605172,88.89,83.28
Côte d'Ivoire,Africa,CIV,163.0137381,169.5631819,153.9492888,159.6622261,NA,NA,NA,NA,NA,26.23925,83,318000,4.7,19,51,0.34,0.711538462,0.019230769,0.134615385,25263932,13568372,48.18,43.2
Croatia,Europe,HRV,168.6483587,179.6983012,151.1787869,165.8835128,6.4,75.3,3.2,13042,4.44,4.110214,73,55960,1.4,44,58,0.05,4.423076923,1.673076923,4.884615385,5360332,2321207,57.59,55.85
Cuba,Americas,CUB,160.6077749,171.3525662,150.0076997,159.2141281,6.7,77.7,1.8,6000,11.26,11.327988,106,106440,1.6,42,78,0.15,1.788461538,2.634615385,0.096153846,43686470,10728916,95.69,89.27
Cyprus,Asia,CYP,163.0969444,174.5946277,152.4215757,161.8064793,7.2,79,4.5,22699,0.76,1.205577,131,9240,1.3,37,67,0.02,3.692307692,2.961538462,2.173076923,1797542,670969,74.88,72.1
Czech Republic (Czechia),Europe,CZE,168.515807,179.9928245,153.6532183,167.5304767,6.9,75.9,5.4,20538,10.23,10.705012,139,77240,1.6,43,74,0.14,6.942307692,3.269230769,2.576923077,18618206,6975739,66.47,65.68
Denmark,Europe,DNK,170.4723805,181.0061598,157.7576068,167.7074609,8.1,77.9,8,33973,5.42,5.788108,137,42430,1.8,42,88,0.07,4.307692308,1.557692308,5.346153846,13140556,4785339,81.35,80.75
Djibouti,Africa,DJI,161.9130566,168.5566238,152.2402979,157.1941429,5.7,53.9,1.5,2178,0.8,0.985027,43,23180,2.8,27,79,0.01,0.288461538,0.846153846,0.057692308,386619,365993,32.65,30.84
Dominica,Americas,DMA,165.1294179,175.5824521,153.5972126,164.1309814,NA,NA,NA,NA,NA,0.07195,96,750,NA,NA,74,0,1,5.5,0.5,67647,32995,45.35,42.14
Dominican Republic,Americas,DOM,160.8641592,171.5435822,149.6098815,158.1039256,7.6,71.5,1.5,8217,9.47,10.825682,225,48320,2.4,28,85,0.14,3.711538462,2.826923077,0.173076923,16240751,7310612,65.11,54.18
DR Congo,Africa,COD,162.2155273,169.391272,151.4875283,157.2149722,3.9,45.8,0.6,714,58.74,88.972681,40,2267050,6,17,46,1.15,0.615384615,0.057692308,0.019230769,12474117,11549486,11.66,9.23
Ecuador,Americas,ECU,156.1216707,166.3153912,143.6845951,153.3313148,6.4,74.7,2.2,4341,13.06,17.587526,71,248360,2.4,28,63,0.23,3.115384615,1.423076923,0.057692308,39495110,15329151,85.16,79.07
Egypt,Africa,EGY,159.4592165,170.0358824,149.471587,158.3769487,6.7,70.7,1.7,4337,72.85,101.930276,103,995450,3.3,25,43,1.31,0.115384615,0.076923077,0.019230769,105493060,55155346,49.69,37.03
El Salvador,Americas,SLV,159.1804186,169.1833289,142.0544169,153.6128334,6.7,71.3,1.6,5255,6.67,6.479609,313,20720,2.1,28,73,0.08,1,1.326923077,0.038461538,11289175,4652597,73.43,68.56
Equatorial Guinea,Africa,GNQ,162.4847078,169.7541565,153.0300885,158.5906195,NA,NA,NA,NA,NA,1.39295,50,28050,4.6,22,73,0.02,1.769230769,0,4.480769231,488738,270109,16.13,12.78
Eritrea,Africa,ERI,164.1608583,169.7703634,152.5692771,157.5513594,NA,NA,NA,NA,NA,3.536285,35,101000,4.1,19,63,0.05,0.346153846,0,0,NA,NA,NA,NA
Estonia,Europe,EST,171.2578038,180.7906058,157.1570088,167.6570839,5.6,71.2,6.4,15478,1.35,1.326357,31,42390,1.6,42,68,0.02,4.307692308,3.730769231,1.134615385,2109644,869116,65.54,64
Eswatini,Africa,SWZ,163.5109057,170.3259715,153.3055152,159.6277459,NA,NA,NA,NA,NA,1.157707,67,17200,3,21,30,0.01,1.730769231,0.038461538,0.038461538,834268,511632,42.58,34.74
Ethiopia,Africa,ETH,161.7039997,168.5629501,152.5806878,156.4859714,4,51.8,1.4,1055,75.17,114.357494,115,1000000,4.3,19,21,1.47,0.384615385,0.057692308,0,53514115,43791263,35.49,30.26
Fiji,Oceania,FJI,168.8122854,174.7358051,154.1746389,162.6107137,NA,NA,NA,NA,NA,0.895128,49,18270,2.8,28,59,0.01,1.480769231,0.673076923,0.019230769,1553053,711826,76.56,68.93
Finland,Europe,FIN,168.2631475,179.7645365,154.6113601,166.1854556,8,78.9,5.2,32153,5.25,5.539002,18,303890,1.5,43,86,0.07,5.057692308,2.557692308,1.865384615,13200849,4524371,81.66,78.47
France,Europe,FRA,166.7792837,178.4930513,155.6877357,164.4920817,7.1,80.2,4.9,30386,60.87,65.244628,119,547557,1.9,42,82,0.84,2.442307692,2.903846154,7.115384615,154317259,54659291,80.6,78.4
French Polynesia,Oceania,PYF,170.1414543,176.6275803,156.8980138,164.7703985,NA,NA,NA,NA,NA,0.28058,77,3660,2,34,64,0,NA,NA,NA,502352,190908,62.33,60.79
Gabon,Africa,GAB,163.0387778,170.5698157,153.3370874,159.7429986,NA,NA,NA,NA,NA,2.214593,9,257670,4,23,87,0.03,6.673076923,1.884615385,1.134615385,572672,311244,13.03,10.78
Gambia,Africa,GMB,161.0458812,167.9349742,155.929504,161.9346516,NA,NA,NA,NA,NA,2.402083,239,10120,5.3,18,59,0.03,0.153846154,0,0.019230769,1444492,934799,34.55,16.85
Georgia,Asia,GEO,165.1038348,175.2672334,154.267806,163.3817242,4.3,70.7,1.1,3365,4.47,3.990681,57,69490,2.1,38,58,0.05,1,1.923076923,2.865384615,2930677,1654504,44.19,34.08
Germany,Europe,DEU,167.7189406,179.480995,156.5670377,166.2161117,7.2,79.1,4.2,29461,82.47,83.730223,240,348560,1.6,46,76,1.07,6.653846154,2.25,3.365384615,192128457,64872729,77.81,76.24
Ghana,Africa,GHA,162.6536743,170.5019838,153.7274804,159.0715124,4.7,59.1,1.5,2480,22.54,30.936375,137,227540,3.9,22,57,0.4,0.596153846,0.057692308,0.192307692,22384226,12853113,38.4,29.3
Greece,Europe,GRC,162.9763279,177.3000344,151.0367515,163.8708359,6.8,78.9,5.9,23381,11.1,10.433037,81,128900,1.3,46,85,0.13,2.557692308,2.153846154,4.192307692,22111242,7933976,76.4,73.61
Greenland,Americas,GRL,159.8282349,173.4571894,147.60315,160.7871031,NA,NA,NA,NA,NA,0.05675,0,410450,NA,NA,87,0,NA,NA,NA,79738,41227,72.98,68.17
Grenada,Americas,GRD,165.1881127,176.2896191,154.5916787,164.5619414,NA,NA,NA,NA,NA,0.112418,331,340,2.1,32,35,0,3.826923077,8.423076923,0.538461538,90507,44180,35.21,31.07
Guatemala,Americas,GTM,154.615416,163.7405549,140.9926315,149.0529966,7.4,69.7,1.5,4568,12.71,17.846248,167,107160,2.9,23,52,0.23,1.019230769,1.326923077,0.038461538,20213798,8907364,49.92,39.75
Guinea,Africa,GIN,163.7396318,170.3618508,154.0330825,159.31386,4,54.8,1.3,2316,9,13.056478,53,245720,4.7,18,39,0.17,0.173076923,0,0.038461538,10624849,7661653,55.28,33.98
Guinea-Bissau,Africa,GNB,163.1967188,170.3982464,153.0963813,159.0784795,NA,NA,NA,NA,NA,1.958132,70,28120,4.5,19,45,0.03,0.538461538,0.596153846,0.403846154,593453,544256,25.85,17.19
Guyana,Americas,GUY,160.5947335,170.0684649,149.4109413,158.2219377,6.5,65.2,2.6,4508,0.74,0.785788,4,196850,2.5,27,27,0.01,1.788461538,5.807692308,0.019230769,960133,495285,61.24,47.23
Haiti,Americas,HTI,162.368154,172.4095453,150.5018827,159.2309869,5.2,59.5,0.5,1663,9.3,11.373955,414,27560,3,24,57,0.15,0.019230769,6.269230769,0.019230769,515718,406534,3.51,2.06
Honduras,Americas,HND,159.1281484,167.0814561,144.330513,153.3328494,7,69.4,1.8,3430,6.83,9.871892,89,111890,2.5,24,57,0.13,1.326923077,1.884615385,0.038461538,NA,6521901,62.51,55.71
Hong Kong,Asia,HKG,160.1166136,171.2892379,146.7908737,157.7936764,NA,NA,NA,NA,NA,7.484618,7140,1050,1.3,45,NA,0.1,NA,NA,NA,20696140,6913904,92.32,90.75
Hungary,Europe,HUN,166.9021215,177.1572938,154.0503175,163.5490424,5.7,72.9,3.5,17887,10.09,9.665192,107,90530,1.5,43,72,0.12,4.5,4.134615385,3.557692308,NA,6420813,64.42,62.28
Iceland,Europe,ISL,171.3250098,181.2343696,159.2743517,167.2474204,7.8,81.5,7.4,36510,0.3,0.340795,3,100250,1.8,37,94,0,4.480769231,1.173076923,1.5,805469,309770,83.07,77.82
India,Asia,IND,161.9511102,165.1007737,148.1929593,152.3624975,5.5,63.7,0.9,3452,1094.58,1377.233523,464,2973190,2.2,28,35,17.7,0.173076923,2.192307692,0,2206389144,1027377619,72.49,67.17
Indonesia,Asia,IDN,155.1110492,163.0893517,145.0053472,151.7019469,5.7,69.7,0.9,3843,220.56,272.931713,151,1811570,2.3,30,56,3.51,0.096153846,0.019230769,0,444303130,203657535,73.92,62.68
Iran,Asia,IRN,157.9733803,173.0014133,149.0785301,158.668612,5.6,70.2,2.7,7968,69.09,83.771587,52,1628550,2.2,32,76,1.08,0,0,0,157785811,65159767,73.58,66.11
Iraq,Asia,IRQ,159.9724259,171.3968362,150.2464517,158.6911503,5.4,57.7,1.3,NA,29.27,40.031626,93,434320,3.7,21,73,0.52,0.173076923,0.057692308,0,19557364,11332925,25.47,17.85
Ireland,Europe,IRL,166.8325572,178.1335538,154.4400836,164.1762033,8.1,78.4,6.3,38505,4.16,4.92648,72,68890,1.8,38,63,0.06,6.019230769,2.269230769,3.173076923,11110818,4107019,81.76,80.84
Israel,Asia,ISR,163.8395362,176.3394974,152.3893235,161.8456382,7.1,80.3,4.8,25864,6.92,8.627444,400,21640,3,30,93,0.11,1.211538462,1.326923077,0.173076923,18643353,6722605,71.15,65.18
Italy,Europe,ITA,164.9481084,176.8790491,153.7282805,163.1412931,6.9,80.3,4.8,28529,58.61,60.479424,206,294140,1.3,47,69,0.78,1.634615385,0.807692308,4.557692308,143829824,50886740,86.19,81.27
Jamaica,Americas,JAM,163.7476508,174.6887079,153.0655337,163.3802295,6.7,72.2,1.1,4291,2.65,2.958567,273,10830,2,31,55,0.04,1.576923077,1.865384615,0.173076923,1517814,851175,30.1,26.58
Japan,Asia,JPN,156.9695293,171.4544288,143.358332,158.5072577,6.8,82.3,4.9,31267,127.77,126.552765,347,364555,1.4,48,92,1.62,1.480769231,3.884615385,0.307692308,382154940,104670538,84.44,83.36
Jordan,Asia,JOR,159.6701226,172.2348926,150.7348616,158.8515078,6,71.9,1.7,5530,5.41,10.182442,115,88780,2.8,24,91,0.13,0.115384615,0.403846154,0.019230769,10057975,4821579,42.72,40.39
Kazakhstan,Asia,KAZ,161.8963046,171.8738602,151.766897,160.1375374,6.1,65.9,3.4,7857,15.15,18.730568,7,2699700,2.8,31,58,0.24,2.384615385,4.730769231,0.230769231,NA,10858101,55.98,54.79
Kenya,Africa,KEN,166.1310979,171.8600785,156.2756312,159.5443148,3.7,52.1,1.1,1240,35.6,53.521116,94,569140,3.5,20,28,0.69,1.115384615,0.423076923,0.038461538,23359310,14317039,26.5,20.26
Kiribati,Oceania,KIR,166.7449846,169.9549371,152.7153353,158.5621795,NA,NA,NA,NA,NA,0.119069,147,810,3.6,23,57,0,0.403846154,0.653846154,0.019230769,219980,100900,76.88,62.08
Kuwait,Asia,KWT,161.2131959,172.6440911,150.8179675,159.5423445,6.7,77.3,8.9,26321,2.54,4.257495,240,17820,2.1,37,NA,0.05,0,0,0,8258789,3456391,80.97,78.36
Kyrgyzstan,Asia,KGZ,160.8527262,171.3272909,150.8055024,159.5098048,5,65.6,1.1,1927,5.14,6.501804,34,191800,3,26,36,0.08,0.596153846,1.865384615,0.115384615,3431021,1652568,24.92,20.69
Laos,Asia,LAO,153.4066771,160.4280329,145.1294467,151.5993371,6.2,63.2,1.1,2039,5.66,7.253719,32,230800,2.7,24,36,0.09,1.192307692,0,2.365384615,11111066,5888649,78.21,69.36
Latvia,Europe,LVA,169.7036972,180.333106,156.2186365,168.3864092,5.4,72,3.5,13646,2.3,1.890218,30,62200,1.7,44,69,0.02,5.403846154,4.153846154,1.192307692,2895716,1346184,72.74,70.57
Lebanon,Asia,LBN,161.388707,175.005883,150.1305473,161.2417518,4.7,71.5,3.1,5584,4.01,6.831445,667,10230,2.1,30,78,0.09,0.384615385,1.057692308,0.596153846,5814699,2740227,49.92,43.98
Lesotho,Africa,LSO,161.5938588,167.9369401,153.508835,157.5276138,NA,NA,NA,NA,NA,2.138799,71,30360,3.2,24,31,0.03,1.576923077,0.557692308,0,1319497,1008145,43.72,40.45
Liberia,Africa,LBR,158.9355045,165.7870123,151.9960508,157.1013406,NA,NA,NA,NA,NA,5.032469,53,96320,4.4,19,53,0.06,0.365384615,2.923076923,0.038461538,4460668,3903802,73.62,70.36
Libya,Africa,LBY,161.968936,174.2171005,150.7375551,161.2674092,NA,NA,NA,NA,NA,6.85201,4,1759540,2.3,29,78,0.09,0,0,0,3739158,2316327,34,18.15
Lithuania,Europe,LTU,169.2945907,178.7656691,154.8273958,165.9686188,5.8,72.5,3.2,14494,3.41,2.729553,43,62674,1.7,45,71,0.03,6.596153846,4.692307692,1.076923077,4544481,1956892,71.16,68.37
Luxembourg,Europe,LUX,167.8851666,178.0537332,155.4259699,165.1496548,7.7,78.4,10.2,60228,0.46,0.623861,242,2590,1.5,40,88,0.01,4.538461538,2.557692308,5.211538462,1374181,481937,74.42,NA
Madagascar,Africa,MDG,159.1534727,164.4957774,150.1488636,153.2632817,3.7,58.4,1.1,923,18.64,27.539106,48,581795,4.1,20,39,0.36,0.5,0.288461538,0.076923077,2675087,2331784,7.87,7.62
Malawi,Africa,MWI,159.6551291,164.8498445,151.8593011,155.7780522,4.4,46.3,0.5,667,13.23,19.024426,203,94280,4.3,18,18,0.25,0.153846154,0.211538462,0.019230769,7159342,4950288,24.26,19.33
Malaysia,Asia,MYS,158.1270797,167.255418,147.897037,155.5484039,6.6,73.7,2.4,10882,25.65,32.28061,99,328550,2,30,78,0.42,0.25,0.076923077,0,72581401,28130745,82.89,81.16
Maldives,Asia,MDV,156.1974922,165.353553,144.2514248,153.0886631,NA,NA,NA,NA,NA,0.538558,1802,300,1.9,30,35,0.01,0,0,0,951511,399225,76.22,73.52
Mali,Africa,MLI,165.4192558,173.233064,156.4909705,161.6406539,3.8,53.1,1.6,1033,11.61,20.125282,17,1220190,5.9,16,44,0.26,0.096153846,0.019230769,0.019230769,4916568,3613292,15.99,13.08
Malta,Europe,MLT,162.0970081,172.3904433,150.4488533,159.9140163,7.1,79.1,3.8,19189,0.4,0.441308,1380,320,1.5,43,93,0.01,2.865384615,1.923076923,2.307692308,1380343,478717,89.77,88.4
Marshall Islands,Oceania,MHL,162.5664054,164.9811939,149.320886,153.2790154,NA,NA,NA,NA,NA,0.059109,329,180,NA,NA,70,0,0,0,0,NA,NA,NA,NA
Mauritania,Africa,MRT,161.976124,167.6745771,155.3763452,159.657788,5,63.2,1.9,2234,2.96,4.623535,5,1030700,4.6,20,57,0.06,0,0,0,4068530,2100271,44.35,32.47
Mauritius,Africa,MUS,160.9215125,170.6588534,148.4808956,156.3270308,NA,NA,NA,NA,NA,1.271347,626,2030,1.4,37,41,0.02,1.884615385,0.596153846,0.346153846,2614235,1123773,86.48,83.74
Mexico,Americas,MEX,157.4725752,167.8810722,144.3024998,155.0671109,7.7,75.6,3.4,10751,103.09,128.655589,66,1943950,2.1,29,84,1.65,4.576923077,1.307692308,0.096153846,NA,NA,NA,NA
Micronesia,Oceania,FSM,164.8268319,169.3696348,153.0625027,157.6997272,NA,NA,NA,NA,NA,0.114776,164,700,3.1,24,21,0,NA,NA,NA,NA,NA,NA,NA
Moldova,Europe,MDA,164.9749135,174.7058361,152.9565805,162.7729357,5.7,68.4,1.2,2100,3.88,4.035814,123,32850,1.3,38,43,0.05,2.096153846,4.346153846,0.346153846,2278699,1106705,33.81,32.87
Mongolia,Asia,MNG,159.6421118,169.0218951,148.4940832,158.2416173,5.7,65.9,3.5,2107,2.55,3.26732,2,1553560,2.9,28,67,0.04,1.480769231,3.634615385,0.153846154,5492919,NA,NA,NA
Montenegro,Europe,MNE,166.9969887,178.1923109,153.0223073,164.7514489,NA,NA,NA,NA,NA,0.62805,47,13450,1.8,39,68,0.01,0.596153846,2.192307692,2.461538462,679171,292783,46.69,45.43
Morocco,Africa,MAR,159.9248536,171.356484,151.3454806,158.2964873,5.6,70.4,1.1,4555,30.14,36.820713,83,446300,2.4,30,64,0.47,0.230769231,0.115384615,0.192307692,55382780,25018998,66.79,62.79
Mozambique,Africa,MOZ,159.5060403,166.6049062,151.3227478,155.4549749,3.8,42.8,0.9,1242,20.53,31.067362,40,786380,4.9,18,38,0.4,0.903846154,0.346153846,0.096153846,29457535,18641485,56.54,56.01
Myanmar,Asia,MMR,157.8178139,164.3785972,146.0743473,154.1934929,5.9,60.8,1.1,1027,47.97,54.335948,83,653290,2.2,29,31,0.7,0.096153846,0.019230769,0,64549994,34777314,64.19,50.84
Namibia,Africa,NAM,164.5763391,169.8971827,157.2247063,160.5092771,4.5,51.6,3.7,7586,2.02,2.53129,3,823290,3.4,22,55,0.03,7.230769231,0.057692308,0.019230769,981773,609695,23.75,20.75
Nauru,Oceania,NRU,164.8960648,168.6937171,152.3428266,156.3016271,NA,NA,NA,NA,NA,0.01081,541,20,NA,NA,NA,0,0.942307692,0,0.153846154,32157,13106,103.27,89.4
Nepal,Asia,NPL,157.6558305,162.524313,144.6590866,151.1820357,5.3,62.6,0.8,1550,27.09,29.027347,203,143350,1.9,25,21,0.37,0.096153846,0.115384615,0,60976433,27718158,90.74,79.33
Netherlands,Europe,NLD,170.1410883,182.5461596,155.8198618,168.936814,7.7,79.2,4.4,32684,16.32,17.12729,508,33720,1.7,43,92,0.22,4.826923077,1.692307692,3.653846154,36104942,12775557,72.74,68.08
