species,gentoo,island,bill_length_cm,flipper_length_cm,body_mass_g,female
Adelie,0,Dream,4,19.6,4350,0
Adelie,0,Biscoe,4,18,3950,0
Gentoo,1,Biscoe,4.5,21.5,5000,1
Chinstrap,0,Dream,5.2,21,4800,0
Adelie,0,Dream,3.7,19.1,3350,1
Gentoo,1,Biscoe,4.3,20.8,4575,1
Adelie,0,Biscoe,4.1,18.8,4100,0
Adelie,0,Biscoe,4.1,19.5,4400,0
Chinstrap,0,Dream,4.6,18.7,3650,1
Gentoo,1,Biscoe,4.7,21.2,4725,1
Gentoo,1,Biscoe,5.4,23.1,5650,0
Chinstrap,0,Dream,5.1,19.8,3700,0
Gentoo,1,Biscoe,6,23,6050,0
Adelie,0,Dream,4,17.8,3250,1
Adelie,0,Dream,3.6,18.7,3700,1
Adelie,0,Biscoe,4.2,20,4050,0
Adelie,0,Torgersen,3.8,19.8,3500,0
Gentoo,1,Biscoe,5,22.9,5800,0
Adelie,0,Biscoe,4.1,19.1,3700,0
Adelie,0,Torgersen,4,17.6,3450,1
Adelie,0,Dream,3.6,19.5,3325,1
Gentoo,1,Biscoe,4.8,22,5300,0
Gentoo,1,Biscoe,5,21.8,5700,0
Chinstrap,0,Dream,4.5,18.8,3525,1
Gentoo,1,Biscoe,4.2,21,4700,1
Chinstrap,0,Dream,5,19.8,3775,1
Adelie,0,Dream,3.7,18.5,3000,1
Gentoo,1,Biscoe,5,23,5700,0
Gentoo,1,Biscoe,4.9,21.2,4625,1
Gentoo,1,Biscoe,4.3,22,4700,1
Chinstrap,0,Dream,5.1,19.6,3550,0
Adelie,0,Dream,4,18.6,4450,0
Gentoo,1,Biscoe,4.6,22,5000,0
Chinstrap,0,Dream,4.7,19.5,3300,1
Adelie,0,Biscoe,3.6,18.1,2850,1
Chinstrap,0,Dream,5.3,19.7,3725,0
Chinstrap,0,Dream,4.3,20.2,3400,1
Gentoo,1,Biscoe,5,22,5550,0
Gentoo,1,Biscoe,5,22.4,5650,0
Gentoo,1,Biscoe,4.8,21.8,4950,1
Chinstrap,0,Dream,5.2,19.7,3450,0
Adelie,0,Biscoe,3.6,18.9,3800,1
Gentoo,1,Biscoe,5,22.4,5550,0
Gentoo,1,Biscoe,4.8,20.3,4625,1
Gentoo,1,Biscoe,5.2,22.8,5400,0
Adelie,0,Biscoe,4,19.1,3900,1
Gentoo,1,Biscoe,5,21.3,5400,0
Gentoo,1,Biscoe,4.5,21.2,4750,1
Gentoo,1,Biscoe,4.7,21,4550,1
Adelie,0,Dream,4.1,19.5,3900,0
Chinstrap,0,Dream,4.7,19.2,3500,1
Gentoo,1,Biscoe,5.3,21.9,5500,0
Gentoo,1,Biscoe,4.7,22.2,5250,0
Chinstrap,0,Dream,4.9,21,3950,0
Chinstrap,0,Dream,5.1,19.6,3675,1
Gentoo,1,Biscoe,4.7,21.5,4975,1
Adelie,0,Dream,3.8,19.3,3750,0
Gentoo,1,Biscoe,4.6,22.1,5000,0
Adelie,0,Biscoe,4,18.4,3550,0
Gentoo,1,Biscoe,4.7,21.5,5150,0
Gentoo,1,Biscoe,4.8,20.9,4600,1
Adelie,0,Biscoe,3.5,19.2,3725,1
Adelie,0,Biscoe,4.1,20.3,4725,0
Adelie,0,Torgersen,3.4,19,3600,1
Adelie,0,Torgersen,4.3,19.5,4250,0
Adelie,0,Torgersen,3.7,18.7,3800,1
Gentoo,1,Biscoe,4.7,21.5,5500,0
Gentoo,1,Biscoe,5,22.2,5750,0
Gentoo,1,Biscoe,5,22.9,5950,0
Gentoo,1,Biscoe,4.6,21.5,5050,0
Gentoo,1,Biscoe,5.1,21.8,5300,0
Chinstrap,0,Dream,4.6,19.4,3525,1
Gentoo,1,Biscoe,5.1,22.6,5200,0
Adelie,0,Torgersen,3.7,18.5,3700,1
Gentoo,1,Biscoe,4.9,22,5150,1
