"","YearBuilt","YearSold","Neighborhood","HomeSizeR","HomeSizeK","LotSizeR","LotSizeK","Floors","BuildQuality","Foundation","HasCentralAir","Bathrooms","Bedrooms","TotalRooms","KitchenQuality","HasFireplace","GarageType","GarageCars","PriceR","PriceK","TinySet"
"16",2007,2007,"CollegeCreek",2574,2.574,9588,9.588,2,8,"PouredConcrete",1,2,3,10,"Excellent",1,"Attached",3,276000,276,0
"17",2001,2006,"CollegeCreek",1787,1.787,14781,14.781,1,8,"PouredConcrete",1,2,3,7,"Good",1,"Attached",3,275000,275,0
"18",1998,2006,"CollegeCreek",2097,2.097,9750,9.75,2,7,"PouredConcrete",1,2,3,8,"Good",1,"Detached",2,274300,274.3,0
"19",2001,2010,"CollegeCreek",1601,1.601,11423,11.423,1,8,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,272000,272,0
"20",1998,2007,"CollegeCreek",2452,2.452,16226,16.226,2,8,"PouredConcrete",1,2,4,9,"Good",1,"Attached",2,267000,267,0
"21",2001,2009,"CollegeCreek",1872,1.872,11885,11.885,2,8,"PouredConcrete",1,2,3,7,"Excellent",1,"Attached",2,261500,261.5,0
"22",2002,2008,"CollegeCreek",2290,2.29,11250,11.25,2,8,"PouredConcrete",1,2,4,9,"Good",1,"Attached",2,255900,255.9,0
"23",2002,2006,"CollegeCreek",1989,1.989,11367,11.367,2,8,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,255000,255,0
"24",2008,2010,"CollegeCreek",1694,1.694,10475,10.475,1,8,"PouredConcrete",1,2,3,7,"Good",0,"Attached",3,245350,245.35,0
"25",1995,2007,"CollegeCreek",2090,2.09,10000,10,2,8,"PouredConcrete",1,2,3,8,"Good",1,"Attached",2,240000,240,0
"26",2006,2006,"CollegeCreek",1962,1.962,8760,8.76,2,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",3,239799,239.799,0
"27",2007,2009,"CollegeCreek",1800,1.8,11923,11.923,1,9,"PouredConcrete",1,2,2,7,"Excellent",0,"Attached",2,239000,239,0
"28",2002,2008,"CollegeCreek",2031,2.031,9473,9.473,2,8,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,237000,237,0
"29",2003,2010,"CollegeCreek",1829,1.829,9548,9.548,2,7,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,237000,237,0
"30",2001,2009,"CollegeCreek",1788,1.788,11838,11.838,1,8,"PouredConcrete",1,2,3,7,"Excellent",1,"Attached",2,236500,236.5,0
"31",2000,2006,"CollegeCreek",1525,1.525,9100,9.1,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,235000,235,0
"32",2000,2008,"CollegeCreek",1865,1.865,10316,10.316,2,7,"PouredConcrete",1,2,3,7,"Good",1,"Attached",3,235000,235,0
"33",2006,2006,"CollegeCreek",1919,1.919,15611,15.611,2,8,"PouredConcrete",1,2,3,8,"Good",1,"Attached",2,233230,233.23,0
"34",2003,2010,"CollegeCreek",1668,1.668,10635,10.635,1,8,"PouredConcrete",1,2,3,8,"Good",1,"Attached",2,232000,232,0
"35",2001,2008,"CollegeCreek",1792,1.792,12435,12.435,2,7,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,231500,231.5,0
"36",1997,2009,"CollegeCreek",1764,1.764,15426,15.426,2,6,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,231500,231.5,0
"37",2001,2009,"CollegeCreek",1840,1.84,12420,12.42,2,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,230000,230,0
"38",2002,2006,"CollegeCreek",1654,1.654,8125,8.125,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",3,230000,230,0
"39",1999,2008,"CollegeCreek",1852,1.852,9066,9.066,2,8,"PouredConcrete",1,2,3,7,"Good",1,"Attached",3,230000,230,0
"40",2002,2008,"CollegeCreek",1795,1.795,9742,9.742,1,8,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,230000,230,0
"41",2002,2007,"CollegeCreek",2169,2.169,9375,9.375,2,8,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,228500,228.5,0
"42",2002,2009,"CollegeCreek",1573,1.573,9808,9.808,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,227000,227,0
"43",2003,2007,"CollegeCreek",1479,1.479,10665,10.665,1,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,226000,226,0
"44",2003,2008,"CollegeCreek",1768,1.768,8158,8.158,2,7,"PouredConcrete",1,2,3,8,"Good",0,"Attached",2,224900,224.9,0
"45",1998,2010,"CollegeCreek",1661,1.661,12137,12.137,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,224900,224.9,0
"46",2001,2008,"CollegeCreek",1786,1.786,11250,11.25,2,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,223500,223.5,0
"47",1998,2008,"CollegeCreek",2031,2.031,11404,11.404,2,7,"PouredConcrete",1,2,3,8,"Good",1,"Attached",2,222500,222.5,0
"48",2005,2006,"CollegeCreek",1614,1.614,11210,11.21,1,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",3,221500,221.5,0
"49",2002,2008,"CollegeCreek",1494,1.494,12803,12.803,1,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,221000,221,0
"50",2006,2009,"CollegeCreek",1604,1.604,8814,8.814,1,7,"PouredConcrete",1,2,3,8,"Good",1,"Attached",2,220000,220,0
"51",2003,2007,"CollegeCreek",1928,1.928,8200,8.2,2,7,"PouredConcrete",1,2,4,8,"Good",1,"Attached",2,219500,219.5,0
"52",1997,2009,"CollegeCreek",2034,2.034,9375,9.375,2,7,"PouredConcrete",1,2,3,8,"Good",0,"Attached",2,219500,219.5,0
"53",1997,2006,"CollegeCreek",1494,1.494,9236,9.236,1,6,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,217000,217,0
"54",2004,2006,"CollegeCreek",1836,1.836,9100,9.1,1,7,"PouredConcrete",1,2,3,8,"Good",1,"Attached",2,216837,216.837,0
"55",2002,2008,"CollegeCreek",1536,1.536,9135,9.135,1,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,214000,214,0
"56",1999,2006,"CollegeCreek",1588,1.588,10264,10.264,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,214000,214,0
"57",2006,2007,"CollegeCreek",1797,1.797,9245,9.245,2,7,"PouredConcrete",1,2,3,8,"Good",0,"Attached",2,213500,213.5,0
"58",2000,2009,"CollegeCreek",1630,1.63,9750,9.75,1,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,213000,213,0
"59",2004,2010,"CollegeCreek",1484,1.484,8400,8.4,1,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,213000,213,0
"60",2005,2006,"CollegeCreek",1552,1.552,10084,10.084,1,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",3,212900,212.9,0
"61",2007,2009,"CollegeCreek",1768,1.768,10769,10.769,2,8,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,212000,212,0
"62",1996,2009,"CollegeCreek",1661,1.661,10667,10.667,2,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,212000,212,0
"63",1998,2007,"CollegeCreek",1796,1.796,9531,9.531,2,6,"PouredConcrete",1,2,3,7,"Average",0,"Attached",2,211000,211,0
"64",1994,2008,"CollegeCreek",1908,1.908,8750,8.75,2,7,"PouredConcrete",1,2,4,8,"Good",1,"Attached",2,210000,210,0
"65",1997,2008,"CollegeCreek",1493,1.493,13125,13.125,1,6,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,208900,208.9,0
"66",2003,2008,"CollegeCreek",1710,1.71,8450,8.45,2,7,"PouredConcrete",1,2,3,8,"Good",0,"Attached",2,208500,208.5,0
"67",2006,2010,"CollegeCreek",1208,1.208,6762,6.762,1,7,"PouredConcrete",1,2,2,6,"Good",0,"Attached",2,206000,206,0
"68",2001,2006,"CollegeCreek",1541,1.541,13704,13.704,1,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",3,205000,205,0
"69",2006,2006,"CollegeCreek",1498,1.498,8990,8.99,1,7,"PouredConcrete",1,2,2,5,"Good",0,"Attached",2,204900,204.9,0
"70",1997,2007,"CollegeCreek",1786,1.786,9337,9.337,2,6,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,204750,204.75,0
"71",1999,2009,"CollegeCreek",1501,1.501,10335,10.335,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,204000,204,0
"72",2005,2007,"CollegeCreek",1274,1.274,8814,8.814,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,203000,203,0
"73",1996,2009,"CollegeCreek",1504,1.504,11883,11.883,1,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,203000,203,0
"74",1998,2010,"CollegeCreek",1682,1.682,8750,8.75,2,6,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,200500,200.5,0
"75",2007,2007,"CollegeCreek",1316,1.316,11175,11.175,1,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,200141,200.141,0
"76",2002,2006,"CollegeCreek",1861,1.861,13450,13.45,2,7,"PouredConcrete",1,2,3,8,"Good",0,"Attached",2,200000,200,0
"77",2003,2006,"CollegeCreek",1700,1.7,9135,9.135,1,6,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,200000,200,0
"78",2009,2010,"CollegeCreek",1226,1.226,10402,10.402,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",3,198900,198.9,0
"79",1998,2009,"CollegeCreek",1779,1.779,10400,10.4,2,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,197900,197.9,0
"80",2004,2006,"CollegeCreek",1720,1.72,11645,11.645,2,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,196500,196.5,0
"81",2007,2007,"CollegeCreek",1208,1.208,6762,6.762,1,7,"PouredConcrete",1,2,2,6,"Good",0,"Attached",2,195400,195.4,0
"82",2004,2006,"CollegeCreek",1948,1.948,12393,12.393,2,7,"PouredConcrete",1,2,4,8,"Good",1,"Attached",2,195000,195,0
"83",2002,2009,"CollegeCreek",1660,1.66,8935,8.935,2,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,195000,195,0
"84",2007,2009,"CollegeCreek",1232,1.232,7314,7.314,1,7,"PouredConcrete",1,2,2,6,"Good",0,"Attached",2,194500,194.5,0
"85",2006,2007,"CollegeCreek",1240,1.24,8556,8.556,1,7,"PouredConcrete",1,2,2,5,"Good",0,"Attached",3,194000,194,0
"86",2006,2006,"CollegeCreek",1220,1.22,7406,7.406,1,7,"PouredConcrete",1,2,2,6,"Good",0,"Attached",2,194000,194,0
"87",2006,2006,"CollegeCreek",1294,1.294,6762,6.762,1,7,"PouredConcrete",1,2,2,6,"Good",1,"Attached",2,193879,193.879,0
"88",1999,2008,"CollegeCreek",1790,1.79,9179,9.179,2,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,193000,193,0
"89",2002,2006,"CollegeCreek",1776,1.776,14006,14.006,2,7,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,192500,192.5,0
"90",2002,2007,"CollegeCreek",1459,1.459,8749,8.749,1,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,192000,192,0
"91",1999,2009,"CollegeCreek",1431,1.431,9017,9.017,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,192000,192,0
"92",1996,2009,"CollegeCreek",1716,1.716,8750,8.75,2,7,"PouredConcrete",1,2,2,7,"Good",1,"Attached",2,191000,191,0
"93",1999,2008,"CollegeCreek",1479,1.479,9382,9.382,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,191000,191,0
"94",2004,2009,"CollegeCreek",1500,1.5,8487,8.487,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,190000,190,0
"95",2004,2009,"CollegeCreek",1728,1.728,9313,9.313,2,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,190000,190,0
"96",2005,2008,"CollegeCreek",1456,1.456,8199,8.199,2,7,"PouredConcrete",1,2,3,7,"Good",1,"Attached",2,189000,189,0
"97",1998,2008,"CollegeCreek",1724,1.724,8924,8.924,2,7,"PouredConcrete",1,2,3,8,"Good",0,"Attached",2,188000,188,0
"98",2001,2009,"CollegeCreek",1430,1.43,16285,16.285,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,187100,187.1,0
"99",2004,2008,"CollegeCreek",1582,1.582,8320,8.32,2,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,185900,185.9,0
"100",2004,2010,"CollegeCreek",1414,1.414,8773,8.773,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,185500,185.5,0
"101",2003,2007,"CollegeCreek",1337,1.337,8450,8.45,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,185000,185,0
"102",2003,2008,"CollegeCreek",1640,1.64,7226,7.226,2,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,183000,183,0
"103",2003,2007,"CollegeCreek",1668,1.668,11317,11.317,2,7,"PouredConcrete",1,2,3,8,"Good",0,"Attached",2,180000,180,0
"104",2007,2008,"CollegeCreek",1234,1.234,11049,11.049,1,8,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,179900,179.9,0
"105",2004,2007,"CollegeCreek",1422,1.422,8500,8.5,1,7,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,179600,179.6,0
"106",2001,2009,"CollegeCreek",1212,1.212,9100,9.1,1,7,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,178000,178,0
"107",1925,2006,"OldTown",1641,1.641,9600,9.6,2,7,"Brick&Tile",1,1,3,6,"Excellent",1,"Detached",2,178000,178,0
"108",1995,2007,"CollegeCreek",1200,1.2,11249,11.249,1,6,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,177500,177.5,0
"109",2006,2007,"CollegeCreek",1314,1.314,9317,9.317,1,6,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,176432,176.432,0
"110",2005,2006,"CollegeCreek",1500,1.5,8846,8.846,2,6,"PouredConcrete",1,2,3,6,"Good",0,"Attached",2,173900,173.9,0
"111",2005,2009,"CollegeCreek",1476,1.476,8633,8.633,2,6,"PouredConcrete",1,2,3,7,"Good",0,"Attached",2,173500,173.5,0
"112",1882,2009,"OldTown",1742,1.742,17671,17.671,2,8,"Brick&Tile",1,1,4,8,"Good",1,"Attached",2,168000,168,0
"113",2005,2006,"CollegeCreek",1310,1.31,8767,8.767,1,7,"PouredConcrete",1,2,3,6,"Good",1,"Attached",2,164990,164.99,0
"114",2005,2006,"CollegeCreek",1456,1.456,8461,8.461,2,6,"PouredConcrete",1,2,3,8,"Good",1,"Attached",2,163990,163.99,0
"115",1977,2010,"CollegeCreek",1392,1.392,10900,10.9,2,6,"CinderBlock",1,1,3,6,"Average",0,"Attached",1,161750,161.75,0
"116",1928,2008,"OldTown",1378,1.378,9600,9.6,2,7,"Brick&Tile",1,2,3,7,"Good",1,"Detached",2,161000,161,0
"117",1925,2008,"OldTown",1666,1.666,5100,5.1,2,8,"PouredConcrete",1,1,3,7,"Good",1,"Detached",1,161000,161,0
"118",1890,2007,"OldTown",2554,2.554,10800,10.8,2,7,"Brick&Tile",1,1,3,8,"Average",0,"Detached",2,159500,159.5,0
"119",1904,2008,"OldTown",1539,1.539,10440,10.44,2,5,"PouredConcrete",1,2,3,8,"Good",1,"Detached",2,157500,157.5,0
"120",1920,2006,"OldTown",1762,1.762,7200,7.2,2,7,"Brick&Tile",1,1,4,8,"Good",0,"Detached",2,157000,157,0
"121",1995,2006,"CollegeCreek",990,0.99,13568,13.568,1,5,"PouredConcrete",1,1,3,5,"Average",0,"Attached",2,156000,156,0
"122",2006,2007,"CollegeCreek",1456,1.456,11103,11.103,2,7,"PouredConcrete",1,2,3,8,"Good",1,"Attached",2,155835,155.835,0
"123",1948,2007,"OldTown",1559,1.559,8100,8.1,1,5,"Brick&Tile",1,1,2,5,"Average",0,"Detached",2,153500,153.5,0
"124",1996,2009,"CollegeCreek",1040,1.04,12464,12.464,1,5,"PouredConcrete",1,1,3,6,"Good",0,"Detached",2,152000,152,0
"125",1926,2007,"OldTown",1616,1.616,5400,5.4,1,6,"Brick&Tile",1,2,3,5,"Good",0,"Detached",1,152000,152,0
"126",1977,2009,"CollegeCreek",1040,1.04,8800,8.8,1,5,"CinderBlock",1,2,3,5,"Good",0,"Detached",2,150500,150.5,0
"127",1972,2006,"CollegeCreek",894,0.894,9800,9.8,1,5,"PouredConcrete",1,1,3,5,"Average",0,"Attached",2,149900,149.9,0
"128",1957,2010,"OldTown",1236,1.236,7407,7.407,1,6,"CinderBlock",1,1,2,6,"Average",0,"Attached",2,149700,149.7,0
"129",1948,2008,"OldTown",1122,1.122,12000,12,1,5,"CinderBlock",1,1,2,6,"Good",0,"Attached",2,147000,147,0
"130",1994,2008,"CollegeCreek",990,0.99,9245,9.245,1,5,"PouredConcrete",1,1,3,5,"Average",0,"Detached",2,145000,145,0
"131",1994,2009,"CollegeCreek",1097,1.097,10859,10.859,1,5,"PouredConcrete",1,1,3,6,"Average",0,"Attached",2,145000,145,0
"132",1995,2008,"CollegeCreek",1099,1.099,9525,9.525,1,5,"PouredConcrete",1,1,3,6,"Good",0,"Attached",1,144000,144,0
"133",1977,2009,"CollegeCreek",1268,1.268,9286,9.286,1,5,"CinderBlock",1,1,3,5,"Good",0,"Detached",1,143500,143.5,0
"134",1920,2009,"OldTown",1482,1.482,9000,9,2,7,"PouredConcrete",1,1,3,7,"Average",0,"Detached",2,143000,143,0
"135",1921,2010,"OldTown",1710,1.71,10300,10.3,2,7,"Brick&Tile",1,2,3,9,"Average",0,"Detached",2,140000,140,0
"136",1994,2009,"CollegeCreek",990,0.99,8072,8.072,1,5,"PouredConcrete",1,1,3,5,"Average",0,"Detached",2,138000,138,0
"137",1978,2009,"CollegeCreek",864,0.864,7000,7,1,5,"CinderBlock",1,1,3,6,"Average",0,"Attached",1,136500,136.5,0
"138",1946,2009,"OldTown",1389,1.389,3378,3.378,2,7,"CinderBlock",1,1,3,6,"Average",1,"Detached",1,135000,135,0
"139",1972,2009,"CollegeCreek",864,0.864,15523,15.523,1,5,"CinderBlock",1,1,3,5,"Average",1,"Attached",1,133500,133.5,0
"140",1910,2007,"OldTown",1432,1.432,9600,9.6,2,5,"Brick&Tile",1,2,2,7,"Average",0,"Detached",2,132000,132,0
"141",1975,2008,"CollegeCreek",938,0.938,9200,9.2,1,5,"CinderBlock",1,1,3,5,"Average",0,"Detached",1,130250,130.25,0
"142",1972,2006,"CollegeCreek",864,0.864,9560,9.56,1,5,"CinderBlock",1,1,3,5,"Average",0,"Attached",1,128500,128.5,0
"143",1969,2006,"CollegeCreek",971,0.971,9920,9.92,1,5,"CinderBlock",1,1,3,5,"Average",1,"Attached",1,128500,128.5,0
"144",1976,2010,"CollegeCreek",894,0.894,10650,10.65,1,5,"CinderBlock",1,1,3,5,"Average",0,"Attached",1,128200,128.2,0
"145",1972,2008,"CollegeCreek",864,0.864,7180,7.18,1,5,"CinderBlock",1,1,3,5,"Average",0,"Detached",1,127000,127,0
"146",1955,2006,"OldTown",1163,1.163,5820,5.82,1,3,"CinderBlock",1,1,3,6,"Average",0,"Attached",1,126175,126.175,0
"147",1994,2007,"CollegeCreek",990,0.99,8775,8.775,1,5,"PouredConcrete",1,1,3,5,"Average",0,"Attached",1,126000,126,0
"148",1910,2010,"OldTown",1363,1.363,7740,7.74,2,4,"CinderBlock",1,1,3,6,"Average",0,"Detached",2,125500,125.5,0
"149",1923,2006,"OldTown",1200,1.2,11340,11.34,1,6,"Brick&Tile",1,1,4,7,"Average",0,"Detached",1,125000,125,0
"150",1972,2008,"CollegeCreek",780,0.78,7200,7.2,1,5,"CinderBlock",1,1,2,4,"Average",0,"Detached",1,124900,124.9,0
"151",1880,2006,"OldTown",1750,1.75,9000,9,2,5,"Brick&Tile",1,1,3,8,"Excellent",0,"Detached",1,124000,124,0
"152",1978,2009,"CollegeCreek",1040,1.04,8430,8.43,1,5,"CinderBlock",1,2,3,5,"Average",0,"None",NA,124000,124,0
"153",1994,2007,"CollegeCreek",990,0.99,8070,8.07,1,4,"PouredConcrete",1,1,3,5,"Average",0,"None",NA,123600,123.6,0
"154",1972,2009,"CollegeCreek",894,0.894,7200,7.2,1,5,"CinderBlock",1,1,2,6,"Average",0,"Detached",2,123000,123,0
"155",1872,2008,"OldTown",2358,2.358,5250,5.25,2,8,"Brick&Tile",0,2,4,8,"Average",0,"None",NA,122000,122,0
"156",1975,2007,"CollegeCreek",969,0.969,10356,10.356,1,5,"CinderBlock",1,1,3,5,"Average",0,"Attached",2,122000,122,0
"157",1920,2006,"OldTown",1130,1.13,10800,10.8,1,5,"Brick&Tile",1,1,2,5,"Average",1,"Detached",2,120000,120,0
"158",1940,2010,"OldTown",804,0.804,7200,7.2,1,5,"CinderBlock",1,1,2,4,"Good",1,"Attached",1,119000,119,0
"159",1954,2006,"OldTown",833,0.833,5400,5.4,1,5,"CinderBlock",1,1,2,4,"Good",0,"Detached",1,117000,117,0
"160",1927,2010,"OldTown",1028,1.028,8960,8.96,1,5,"CinderBlock",1,1,2,5,"Average",1,"Detached",2,115000,115,0
"161",1948,2008,"OldTown",789,0.789,6000,6,1,5,"CinderBlock",1,1,2,5,"Average",0,"Detached",1,115000,115,0
"162",1910,2006,"OldTown",1368,1.368,3600,3.6,2,6,"CinderBlock",0,1,3,7,"Average",0,"Detached",1,114504,114.504,0
"163",1972,2007,"CollegeCreek",882,0.882,7700,7.7,1,5,"CinderBlock",1,1,3,5,"Average",0,"Detached",2,112500,112.5,0
"164",1957,2008,"OldTown",928,0.928,6000,6,1,5,"CinderBlock",1,1,3,5,"Average",0,"Attached",1,112500,112.5,0
"165",1925,2006,"OldTown",1103,1.103,6000,6,1,6,"Brick&Tile",1,1,2,5,"Good",1,"Detached",2,110500,110.5,0
"166",1945,2007,"OldTown",866,0.866,3880,3.88,1,5,"CinderBlock",1,1,2,4,"Good",0,"None",NA,110500,110.5,0
"167",1930,2006,"OldTown",813,0.813,5684,5.684,1,6,"Brick&Tile",1,1,2,5,"Good",0,"Detached",1,110000,110,0
"168",1910,2009,"OldTown",1230,1.23,10440,10.44,2,5,"PouredConcrete",1,1,2,5,"Average",0,"Detached",2,110000,110,0
"169",1924,2009,"OldTown",792,0.792,9022,9.022,1,5,"Brick&Tile",1,1,2,5,"Good",0,"Detached",1,109500,109.5,0
"170",1921,2006,"OldTown",1073,1.073,5400,5.4,1,5,"Brick&Tile",1,1,2,4,"Average",0,"Detached",1,108480,108.48,0
"171",1954,2008,"OldTown",901,0.901,6000,6,1,4,"CinderBlock",1,1,2,4,"Average",0,"Detached",1,107900,107.9,0
"172",1915,2010,"OldTown",1605,1.605,5790,5.79,2,3,"CinderBlock",0,2,3,8,"Average",0,"Detached",1,107400,107.4,0
"173",1925,2006,"OldTown",1328,1.328,9906,9.906,2,4,"CinderBlock",0,1,3,8,"Average",0,"Detached",1,107000,107,0
"174",1928,2010,"OldTown",720,0.72,8520,8.52,1,6,"Brick&Tile",1,1,2,5,"Average",0,"Detached",2,105900,105.9,0
"175",1885,2007,"OldTown",1047,1.047,10800,10.8,1,4,"Brick&Tile",1,1,2,6,"Average",0,"Detached",1,100000,100,0
"176",1916,2008,"OldTown",1344,1.344,4571,4.571,2,5,"Brick&Tile",0,1,4,7,"Average",0,"Detached",3,98000,98,0
"177",1956,2008,"OldTown",882,0.882,12702,12.702,1,5,"PouredConcrete",1,1,2,4,"Average",0,"Detached",1,97000,97,0
"178",1938,2009,"OldTown",886,0.886,5784,5.784,1,5,"Brick&Tile",1,1,2,4,"Average",0,"Attached",1,91300,91.3,0
"179",1937,2007,"OldTown",1131,1.131,5925,5.925,1,4,"Brick&Tile",1,1,2,7,"Average",0,"Detached",2,89471,89.471,0
"180",1900,2006,"OldTown",1774,1.774,9600,9.6,2,4,"Brick&Tile",0,2,4,8,"Average",0,"Attached",3,87000,87,0
"181",1920,2007,"OldTown",691,0.691,5400,5.4,1,5,"Brick&Tile",1,1,2,4,"Excellent",0,"Detached",1,86000,86,0
"182",1910,2009,"OldTown",1022,1.022,7200,7.2,1,5,"Brick&Tile",0,1,2,4,"Average",0,"Detached",1,85000,85,0
"183",1945,2010,"OldTown",747,0.747,4608,4.608,1,4,"CinderBlock",1,1,2,4,"Average",0,"Attached",1,80000,80,0
"184",1925,2008,"OldTown",764,0.764,5232,5.232,1,5,"Brick&Tile",0,1,2,4,"Average",0,"Detached",2,73000,73,0
"185",1927,2007,"OldTown",968,0.968,10800,10.8,1,4,"Brick&Tile",1,2,4,5,"Average",0,"Detached",1,64500,64.5,0
